Main_Index,text
810,"Well, I lost about half my hair today. It came out as I brushed it. My hair is three feet long so it left quite a pile on the floor. I asked my daughter to come tomorrow and shave my head. O my God. That's if any more comes out tomorrow. I know, denial, right? My head feels strange, like it's sunburned. I don't think I will get a wig, it's not really my thing. I may change my mind. My daughter had the idea to sew hair extensions to a do-rag so I can wear that under a hat. I think this is hilarious. If you could see me, you would know why. Most people think I am Amish, as my faith is very similar. So that's why I am traumatized about losing my hair."
911,"It has been a long haul, over a year and a half, with 7 surgeries.  Ever since my diagnosis, this cloud has come over my mind.  It has been with me, but is getting better.  Memory, decisions, just the most basic things have become difficult.  I figure it is because the mental burden of bc, all the drugs, tons of anesthesia.  But I have not had any chemo, no radiation, no hormone treatment.  I am definitely anemic, but my basic question is:"
1019,Happy Birthday!
1107,"Good morning dear pink warriors, I'm back from CO and refreshed from the wonderful mountain air.  I spent over 20 hours at the top of pikes peak on Sunday for the international hill climb, I was 13,000 feet or higher:) Now today back to reality with my feet on the ground and heading to my second dose of Doxil:( I hate going to chemo but keep hoping this just might be the one. Almost every time I have chemo, I'm alone and it makes me sad, I feel like my family/friends are tired of it/me:( tomorrow will be three years that I've been fighting and I can't blame them if they're tired of it/me, because I sure am.
Sorry about that little vent, what I wanted to know is if anyone else is or has had Doxil?  It's really hard on me days 7-10, and I'm wanting to quit taking it. I'm hoping someone ot there has some experience with it, please let me know how you do with it.
Miles of Love
~Kari"
1466,I met a prince (of course Danny is my main prince...lol) and a princess at an unforgettable night at Fantasmic in the large arena where you watch the nighttime fireworks extravaganza show.
1542,"When I was going through the terror and heartbreak of my cancer, I was encouraged by stories of brave women who survived and thrived. I am 11 years from the day I heard my doctor say ""you have a lump"" and the start of new pages to my life history. Today I am surrounded by the love of my family and friends and offer hope to all who are traveling this road."
1585,"Wish me luck today!  Hopefully I will be able to continue my Chemo treatments today!  Had to cancel 3/25 and 4/1 treatment dates due to Radiation Recall.  I had Mammosite (internal radiation) first and then started Chemo.  The Chemo always finds the weakest link in your body!  It's like a bad sunburn that peels and leaves skin raw.  They treated me with triple antibotic cream and Silvadene.  It's better and I hope it's a go today.  It's discouraging when you have to delay treatments because you make plans and have to cancel them!  Just want to get on with life!  Tired of being tired!  Just a little down today!  I know I have to be positive, Right!"
1588,"Dawne had her first treatment of the gemzar yesterday. She was very sick last night and said she felt like she had the flu. That was pretty much what they told her to expect. She is not on steroids with this chemo and is very happy about that.Her lymphadema is giving her trouble, she is hoping not taking the steroids will help that. She is having some pain at the cancer site. She was not having any nausea today and was relieved! She will take treatment 2 Wednesdays in a row then off 1. Thank you all again for the prayers, love and support for Dawne. God Bless you all"
1671,"Just came from the cardiologist.  My muga scan came out in normal range.  Yet he still wants me to do a stress test, and he put me on some little pill everyday.  2.5 milligrams.  not sure what it is.  Now he wants me to do a stress test!   I AM SO PISSED.  I HAVE BEEN WORKING OUT ALL MY LIFE, NEVER HAD HIGH CHOLESTEROL COUNTS.  I WORK OUT 3- 5 TIMES A WEEK, AND I AM AN FITNESS INSTRUCTOR. "
1763,"Hi everyone, Today I got diagnosed with DCIS breast cancer after 5 years and 4 months free and dancing with N.E.D.  Bugger.... talk about false hope eh?  "
1767,HAPPY HAPPY DAY!!!!  Hope your day is filled with love all around - and the year ahead is filled with health & happiness!
1836,"I am 44 and have been getting regular ultrasound follow-ups for a fibroadenoma left breast on the diagnonal from the armpit to the nipple. I went to a high risk breast facility and they said it is a classic fibroadenoma meaning the ultrasound features were classic and revealed no clues that it might not be a fibroadenoma. It is the shape and size of a slightly larger vitamin E capsule. Ove three years it has not grown at all so they said no need to biopsy. I asked well when do you biopsy and they said if it appeared suddenly. To me it did but I also was working out and lost some weight and developed my pec muscles so I thought maybe it was there all along. What is more disconcerting to me is that below this adenoma, there is a larger, smooth area that feels about 2 cm wide by 1.5 cm high but thinner like 1 /2 an inch. No one can feel it. There is similar feeling tissue in the other breast but much smaller and it seems less large after my period. The doctor said that it is connective tissue that is fibrous hence the term fibrocystic that is common around an adenoma. It has not gotten any larger, but I feel it move against my rib cage, meaning it is not fixed. Now no one can find it on ultrasound. I am thinking of having the adenoma (sm one) removed but my doctor says they don't do that if it is stable and not growing. My gyno who said it was a fibroadenoma now says it could be a phyllodes. I told my breast doc and he said no that is so rare. QUESTION: do phyllodes tumors always grow ? or do they stabilize at 2-3"". Whatever I have has not grown over three years. Obviously, I need to go to a facility that has more experience w phyllodes like John hopkins and if anyone else knows a good facility in the NE- I am in New York, that would be great. Since no one can feel the area that I feel below the adenoma and near the rib cage nor can they find it on ultra sound then maybe I need an MRI. I appreciate if any one has information to share about their experience of symtoms and getting diagnosed because that is the stage that I am at. Did you get diagnosed w an MRI, US, etc. could you feel it, how did it feel? Where do these tend to be located in the breast? deep in the breast? Did you do just a core biopsy or is full excision the way to go? I read that this type of tumor if malignant bypasses the lymph nodes and goes straight through the circulatory system. The doc did a lymph exam and said the lymph nodes felf normal. Thanks for reading this and to anyone who takes the time to answer. Thank-you for sharing and best of luck to everyone. "
1888,"…………(¯`O´¯)
…………*./ | \ .*
…………..*?*.
………, • '*?* ' • ,
……. '*• ???•*'
….. ' *, • '? ' • ,* '
….' * • ?*?*?• * '
… * , • Merry' • , * '
…* ' •??*?*?? • ' * '
' ' • Christmas . • ' ' '
' ' • ???*?*???• * ' '
…………..x?x
…………….?"
2006,"I was blessed to hear ""it's all clear"" after todays mammo!! Thank you all for the company! I will be getting an injection in my knee later in the week or next week. They needed my insurance companies approval and it was after 5 and they could not get it today. "
2088,"Heavenly Father, I thank you for loving me. I thank you for sending your Son, Our Lord Jesus Christ, to the world to save and to set me free. I trust in your power and grace that sustain and restore me. Loving Father, touch me now with your healing hands, for I believe that your will is for me to be well in mind, body, soul and spirit."
2158,"I arrived for prep at hospital at 9:30 yesterday(trouble as always with IV) then to next adventure to get the WIRE put in..followed by what I was told ONLY 2 mamos. Well I stopped counting after 10...yet they still could not see the wire or chip! They finally gave up...long wait in holding area for surgery...but out ahd home by 6 pm..no pain today..nor pain killers just ice...all good...IN week i'll know if scar tissue from lumpectomy 4 yrs ago.
Denise"
2270,Nine days ago I finished my chemo.  4 rounds of A/C and 12 of Taxol.  I expected to start feeling better since I didn't have chemo this week but I feel so weak.  My legs feel like lead and I can only do a little and have to sit down and rest.  Can some of you ladies weigh in on how long after chemo did you begin to physically feel better.  I'm getting sort of down over this.
2369,"May the New Year bring much Love, Joy, Peace and plenty of Good Health to my fellow Pinks and their loved ones!"
2407,"Saw onc today, not so good news. Had bone and CT scan last wk. Had blood drawn today. Onc. said I have many spots on my liver. Having MRI on Thurs as base for liver. Will be seeing surgeon Fri in prep. for port. Starting Taxal chemo soon. 3 wks on 1 wk off. Sorry to drop this bad news on you, but need all prayers and positive thoughts to fight off this new beast."
2452,"I really need to ask some questions. My daughter is  12 and when she  started to develop breasts I started to notice 1 lump almost the size of her boob, but in both of them. Since there was one in both I thought it was normal. But I asked my friend about it, and she said her daughter  didn't have a lump in the middle of her breast, and she's more developed then mine daughter, so I started to think about breast cancer, but can girls of this  age get it? And having one lump in both of your breasts normal?????"
2492,"Hi, I have stage four breast cancer and am waiting to hear about a new brain tumor. My husband has stayed with me for 6 years thru this ordeal. Tonight he made me so mad! He said he is worried that when I die his life will be HORRIBLE and he will have no life. I asked him what he meant and he said he wouldn't have my income. This isn't true my family would help the children and him. I don't know how to react to this statement.
Help!!"
2670,"8 years out with Ned and hoping to stay that way. But I'll tell you, I have had somthing hit me. Started 1st week of February, sore , red throat...some drainage, no big deal as I've had that before. By the end of the 3rd week with no relief in sight, went to the CVS ""Minute clinic"" where I saw a nurse practitioner. Gave me a strep test since I was concerned being around my grandkids (whom I probably caught this from), and that came out negative. She put me on Nasonex, Claritin and a decongestant. Oh my goodness, for the next 3 weeks, contant drainage which gave me a sinus infection. Went back to her and she prescribed antibiotics. I had fever for a week! Both times, checked my lungs and was clear. But since then, wicked cough. Stubborn and violent. Some wheezing. I'm going to the real doctor tomorrow to try and get to the bottom of this. Coughing up phlem so I'm thinking bronchitis but we'll see. I really felt good today and was out enjoying the almost 80 degree weather but had to retreat to the car with the worst coughing attack as of yet!"
2794,"Just joined today. I had a lumpectomy with removal of 2 sentinel lymph nodes, left breast, 8 days ago, which was 6 weeks after having rotator cuff repair surgery on the shoulder on the same side. My lymph nodes came back negative and pathology report showed margins were clear. However, because it was invasive ductal carcinoma my medical oncologist is going to run an Oncotype test to see whether I'm a low, intermediate or high risk patient. Low risk = no chemo, high risk=chemo, intermediate= we'll discuss it. So Arimidex and radiation are on hold while I wait the 2 weeks for the results. "
2901,"Dawne had her first treatment of the gemzar yesterday. She was very sick last night and said she felt like she had the flu. That was pretty much what they told her to expect. She is not on steroids with this chemo and is very happy about that.Her lymphadema is giving her trouble, she is hoping not taking the steroids will help that. She is having some pain at the cancer site. She was not having any nausea today and was relieved! She will take treatment 2 Wednesdays in a row then off 1. Thank you all again for the prayers, love and support for Dawne. God Bless you all"
2907,"I had a lumpectony and am currently in radiation.  When I finish radiation treatments, my oncologist wants me to try Tamoxifen.  I really don't want to inre to all of the side effects it has given to a lot of women, let alone blood clots and uterine cancer.  The Tamoxifen will only lower my percentage of a recurrence by 6%.  I, personally, don't think that for a 6% benefit, that it is worth it.  What do you think?  I still have time to decide.  I am just trying to educate myself on this subject.  Thanks! "
2960,"Are you snowed in?  Do you have power?  Thinking of you and hoping you are feeling better.  Sending warm, warm, warm (((hugs)))."
3154,"I'm  in shock at the overwhelming replies full of love, support, encouragement, and so much more. My dear brothers and sisters in pink you have once again given more than you will ever know. I'm doing ok today, yesterday was hard, but today is a new day:) My daughter is coming out at noon and my social worker, and hospice nurse will be here at 1 to introduce themselves and get me started. I'm sure I've made the right decision for me, but I'm still a little scared. I will keep you all updated as I learn new things.  I'm going after a keyboard for this iPad so it's easier to type (thank you for that advice). All my love to all of you, I wish I could have met some of you but I live in the Midwest, nobody near me :(. Maybe I can take a road trip :). Thank you, thank you, thank you again for keeping me in your thoughts, prayers, and supporting me.  You are my other family and I love you all dearly!!
Miles of Love,
~Kari
PS I'll be posting and trying to support others a lot more once I get that keyboard (or stylus, not sure what its called, but I'm getting it) :-)"
3240,"I am now 2 weeks post-lumpectomy, and my pain level is the worst it has been, and not controlled by meds. Yesterday, my surgeon drained off over 10 cc of fluid from my breast, hoping to give me some relief. However, improvement was negligible. She'll be draining off more tomorrow, but if she can't give me relief is talking about having me back in surgery on Friday."
3254,"I posted on FB last week was my 5 yrs since diagnosis & surgery-friend called and said wow 5 yrs it doesn't seem like that long. Then saidI don't think of you having cancer. (YOU were so matter of fact, just went through radiation etc) I think since you had radiation-with others they have gone through so much more. I think my comment on FB was UNTIL YOU go through it five years is NO biggie..to ME MILE STONE...as most know here each year is great moment. JUST in Nov i had another lumpectomy , same side , thinkning it was cancer again and it was NOT..only scar tissue.."
3406,"Linda,  Wishing you the very best Birthday possible.  Enjoy your very special day."
3497,Happy Belated Wishes!  Hope you had a wonderful day - lots of fun and love all around!
3508,I was given 9 treatments of Herceptin before my heart infraction rate went too low to continue.  I was taken off for three months to see if my rate would go up.  I had two mugascans during this time.  My heart infraction ratio did improve but not to the normal rate.  My oncologist said I cannot finish the last 8 Herceptin treatments due to my heart not returning to normal function.       
3563,I hope it works but this is me 3 years after being diagnosed and first picture ever posting on the discussion boards.~~MollyZ~~
3605,"Happy Birthday!  Best wishes for a wonderful day - hope it's filled with lots of fun and love all around!
xox
-Jenny"
3655,"With all the new people coming to the breast boards here on CSN, I thought it would be helpful for us to give hints, tips, basic information on how to handle chemo and the related drugs given during chemo, side effects tips, nutritional information etc."
3668,"Just joined today. I had a lumpectomy with removal of 2 sentinel lymph nodes, left breast, 8 days ago, which was 6 weeks after having rotator cuff repair surgery on the shoulder on the same side. My lymph nodes came back negative and pathology report showed margins were clear. However, because it was invasive ductal carcinoma my medical oncologist is going to run an Oncotype test to see whether I'm a low, intermediate or high risk patient. Low risk = no chemo, high risk=chemo, intermediate= we'll discuss it. So Arimidex and radiation are on hold while I wait the 2 weeks for the results. "
4158,More happy news.  My Ca 27.29 is within normal limits (35).  Yay!!!  Thank you all for your happy thoughts and prayers.  I know that they are helping.  Just had to share.
4177,"Getting a prosthesis tomorrow.  Had a simple mastectomy Sept. 2, right breast.  Had trouble finding someplace in my area to get a prosthesis that was in my health plan network.  After much frustration, finally found a facility, but it's not a boutique and they don't have the bras.  They said they can order them...but how can I buy something without getting it fitted.  Am I wrong?"
4297,"Well I saw my VATS surgeon today, and it seems my med onc nurse didn't give me all the info last week on my PET scan.  So I find out today that I have several noduels on both lungs not just  two on the left.  The biggest one is on the left lung, he said they all look the same, I asked what he meant and he said  all the same cancer.  I also have some ""activity"" in the hilar lymph nodes bilaterally, right more then left.  And of course the SCC on my lip lite up due to not having clear margins after my surgery.  "
4511,"Happy Birthday!  Best wishes for a wonderful day - hope it's filled with lots of fun and love all around!
xox
-Jenny"
4513,"I knew it wouldn't be easy.  However, I thought that getting it weekly it might be kinder.  I had my 2nd push on Thursday, was so hyped from the Decadron on Thursday and Friday that I went from 8a to midnight and had to take Ativan to relax and sleep.  Woke up Saturday morning saw everyone off, and couldn't wait to crawl back in bed, where I have been until 7 tonight.  Now I am showered, went to grocery store and feel better.  but nowhere to go!  And about 17 lbs heavier since the 26 day steroid treatment and decadron...  hopefully this will be it.  I am feeling like the pillsbury dough girl.  Even the nausea is not curbing my appetite... that is scary. "
4804,"I am at that point where my hair has grown back in.  Because I wore short hair before (just over the ears on the sides, a little below the neck in the back, and a few inches on the top), it did not take me too long to get back to a comparable point."
4880,"Hi, my name is Christina and I am 30 years old. I was diagnosed with breast cancer back in October of last year. I started chemo the 1st of December. My doctor started me with Paclitaxel chemo, one dose every week. My last dose of Paclitaxel was on February 15th. I did very good on that type of chemo, meaning I had no nausea or vomiting! I did lose my hair and have had very severe itchness on my hands and feet. To the point that I can't walk, drive or anything but scratch. Has anyone else had this issue?? My hands and arms look like I have chicken pox! "
4959,i was reading one of the posts and someone mentioned lymphedema pain? can someone tell me what this is like?
5126,"Today was my last day of radiation...I chose to have a masectomy after the breast mri showed a 2nd lump. I thought, wonderful - I won't have to go thru radiation...wrong!!!...2 surgeries later, the doctor still couldn't 'clear margins'. Therefore, I ended up needing radiation......Today was a bit 'bitter sweet'...I've gotten to know the nurses & rad techs - and now I won't see them except for the doctor's appts...Anyway, cheers to me. (holding up a fake glass of wine  )...Though I haven't posted much, these discussion boards have been a great place to go since you all know how I feel and what I was going thru...It has been a great help...So, thank you all so very much - you lovely ladies out there...Cheers to all of us!!!"
5274,It's been one year since my 2nd lumpectomy-Happy to say (as told last year) ONLY scar tissue but a SCARE!
5307,"Question:  What date do you consider your cancerversary?  Is it the day you were diagnosd, the date of your surgery, the date you ended treatment...?  I know this is a weird question, but I'm looking forward to calling myself a one year survivor.  Thanks!"
5311,I am so happy.  I am still dancing with NED.  Thank you all for riding with me on the pink bus. 
5346,"Hi Ladies:  Haven't been online for awhile and almost thought I was in the wrong place after reading Tiger's post.  Tiger, got me scared for a minute but then as I continued to read.... I'm glad your feeling better.  I still think the spring/summer will do a world of good for all of us.  I'm so sick of the cold, it makes me more depressed and much more achy than usual.  We all need the summer and bright sunshine to help us focus on each day.  I would like to share with all of you that I finally finished my chemo treatment. (a/c and taxol) and move on to radiation,  But what a tremendous weight I feel has been lifted.  I just want to agree with some of the other posts, how different life is after bc.  I still get scared when I look in the mirror.  I ask if I'll ever be myself again.  My hair is just coming in, that's a treat, I feel like a chea plant.
I know where all going thru different aspects of this bc but can I express to all of you how strenghtning and supportive, loving and compassionate all of you are. And I know in my heart God has a special place for all of you, for giving so much of yourselves.  We are truly blessed and with that, I will now sign out.  Be strong and have lots of faith.   vinnie"
5695,I am a one year survivor of triple negative breast cancer on 11/9/16. My oncologist said if i can stay cancer free for 2 years that would be very positive for me!
5750,"A trip to the ER on Wednesday night with fever of 101.7.  My wbc was 0.5.  I have been in lock down (reverse isolation) ever since.  Have gotten neutrogen x 3, antibiotics, iv zofran,  diflucan (thrush),  valtrex (to ward off shingles - so far so good), etc.  Also blood transfusion yesterday. Finally feeling better today and hoping they may let me leave if all my cultures are negative.  Yesterday's wbc 0.8 but no neutrophils yet. Don't expect rapid improvement there. "
5751,"A trip to the ER on Wednesday night with fever of 101.7.  My wbc was 0.5.  I have been in lock down (reverse isolation) ever since.  Have gotten neutrogen x 3, antibiotics, iv zofran,  diflucan (thrush),  valtrex (to ward off shingles - so far so good), etc.  Also blood transfusion yesterday. Finally feeling better today and hoping they may let me leave if all my cultures are negative.  Yesterday's wbc 0.8 but no neutrophils yet. Don't expect rapid improvement there. "
5871,"It has been 3 years today since I heard the words ""you have cancer"". I am happy that I have been dancing with NED since I finished treatment. I was doing fine today until I got a phone call from a close friend. He told me that they suspect he may have prostrate cancer. He is going for a biopsy on the 9th and asked if I would be able to take him. Of course my answer was yes. I told him I will do whatever he needs as his wife is not well and totally dependent on him."
5894,"Like I said, just for fun and getting to know each other better - what do you, or did you do for a living?  And yes, I consider being a stay at home mom a career.  "
5899,"I had to post this, to cute not too!"
5946,"Hello. I am 43 years old. This is the first time I've posted on this.  I was diagnosed with Invasive Ductal Carcinoma of the right breast in October 2007.  I have had 2 surgeries to remove the cancerous tissue.  The first surgery removed the micro-calcifications found on the Mammograms.  They thought they got clear margins, but the Oncologist wanted ""wider"" clear margins.  I then had numerous magnified, digital mammograms, a breast MRI, a bone scan, a chest xray, and a MUGA scan of the heart.  Nothing showed up on any of these scans.  But, the Oncologist wanted a ""wider"" clear margin and wanted the lymph nodes taken out.  I then had a central lumpectomy and they removed 2 Sentinel Nodes and 13 lymph nodes."
5949,"The FDA just approved the new treatment for about 20% of breast cancer patients who have a particular form of the disease that overproduces the protein HER-2.The drug now called Kadcyla, combines the Herceptin with a powerful chemotherapy toxin and a third chemical linking the medicines together. The chemical keeps the drugs intact until they bind to a cancer cell, where the medication is released.The cost of the drug is about $9,800 a month or $94,000 for a typical course of treatment. It is about twice the price of Herceptin itself and similar to the price of some other new cancer drugs.The label of Kadcyla has a warning saying the drug can cause liver toxicity, heart toxicity and death. It can also cause serious birth defects or fetal death for women of childbearing age.http://www.fda.gov/NewsEvents/Newsroom/PressAnnouncements/ucm340704.htmThe US Food and Drug Administration (FDA) today approved ado-trastuzumab emtansine (Kadcyla, Genentech), also known as T-DM1, for the treatment of patients with HER2-positive metastatic breast cancer.T-DM1 is indicated for patients who were previously treated with the anti-HER2 therapy trastuzumab (Herceptin, Genentech) and a taxane chemotherapy.This product offers a new twist on an older product; it is an antibody–drug conjugate in which the HER2-targeted antibody trastuzumab is chemically linked to the cytotoxin mertansine (DM1). The antibody homes in on HER2 breast cancer cells, delivering the chemotherapy directly to the tumor, which reduces the risk for toxicity.T-DM1 ""delivers the drug to the cancer site to shrink the tumor, slow disease progression, and prolong survival,"" said Richard Pazdur, MD, director of the Office of Hematology and Oncology Products at the FDA Center for Drug Evaluation and Research, in a press statement. ""It is the fourth approved drug that targets the HER2 protein.""In the pivotal phase 3 EMILIA study, patients receiving T-DM1 survived nearly 6 months longer than patients receiving the standard therapy of lapatinib (Tykerb) plus capecitabine (Xeloda) (median overall survival, 30.9 vs 25.1 months). Also, there were fewer grade 3 or higher (severe) adverse events with TDM-1 than with standard therapy (43.1% vs. 59.2%), according to the company.The approval represents a ""momentous"" day in breast cancer, said Kathy Miller, MD, from Indiana University in Indianapolis, in her Miller on Oncology Medscape blog.""Our HER2-positive patients with metastatic disease have another very powerful therapy that offers the real hope for prolonged disease control with less toxicity,"" she said.""This is the classic light-beer scenario; it's less filling and tastes great,"" she summarized, adding that T-DM1 was more effective in EMILIA than standard therapy on every outcome: overall response rate, disease-free survival, progression-free survival, and overall survival.However, another expert sees T-DM1 in a less dramatic light.Steve Vogl, MD, a private practitioner and former academic who practices in the Bronx, New York, called T-DM1 a ""nice"" drug when he discussed the product in an online essay last year.T-DM1 causes ""no alopecia, little neutropenia, and only moderate thrombocytopenia. It requires only a short infusion every 3 weeks, lacks cumulative toxicity, and has a response rate as first-line chemotherapy that is about the same as that of docetaxel and trastuzumab, with apparently longer remissions,"" he wrote.However, Dr. Vogl called the EMILIA control regimen (lapatinib and capecitabine) ""distinctly suboptimal"" and not a standard of care, even though it is an FDA-approved treatment option in this setting.""TDM-1 does not meet [the] goals of a major advance,"" wrote Dr. Vogl, who explained that such an advance must cure some patients, increase the rate of clinical complete remission, or produce a high rate of very long partial response.TDM-1 does not provide a ""major change in prognosis"" for women with metastatic disease who have progressed on trastuzumab treatment, he wrote, adding that it is likely to be ""very expensive.""Study Data and Boxed WarningThe international open-label EMILIA study involved 991 patients with HER2-positive locally advanced breast cancer or metastatic breast cancer who had previously been treated with trastuzumab and a taxane chemotherapy. The study met the coprimary efficacy end points of overall survival and progression-free survival (assessed by an independent review committee).Median progression-free survival was longer with TDM-1 than with lapatinib plus capecitabine (9.6 vs 6.4 months). In addition, patients treated with TDM-1 lived significantly longer without their disease getting worse (hazard ratio [HR], 0.65; reduction in risk of disease worsening or death, 35%; P < .0001).The risk of dying was 32% lower with TDM-1 than with lapatinib and capecitabine (HR, 0.68; P = .0006).For patients receiving TDM-1, the most common adverse events (occurring in more than 2% of participants) of grade 3 or higher were low platelet count (14.5%), increased levels of enzymes released by the liver and other organs (8%), low red blood cell count (4.1%), low levels of potassium in the blood (2.7%), nerve problems (2.2%), and tiredness (2.5%).T-DM1 was reviewed under the FDA's priority review program, which provides for an expedited 6-month review of drugs that might provide safe and effective therapy when no satisfactory alternative exists, or that offer significant improvement over comparable products on the market.T-DM1 is being approved with a boxed warning that alerts patients and healthcare professionals that the drug can cause liver toxicity, heart toxicity, and death. The drug can also cause severe life-threatening birth defects, so pregnancy status should be verified prior to starting T-DM1 treatment.Dr. Vogl has disclosed no relevant financial relationships. Dr. Miller reports financial ties with Genentech, Bristol-Myers Squibb, AstraZeneca, Roche, and Clovis Oncology.Citation: FDA Approves New Treatment for Metastatic HER2 Breast Cancer. Medscape. Feb 22, 2013."
6010,"I just wanted to update y'all on Dawne. She is hanging in there. She has chemo every other Monday. It is rough on her but she is fighting hard. Her faith holds her strong. She will be having a PET scan on the 30th so please keep her in your prayers. Her younger sister (early 30's) was dx about 6 wks ago with stage 3 cervical cancer. It has been hard on Dawne because her sister lives in another state,she would love to be with her. She will have chemo and rads starting the 22nd, please keep her in your prayers too."
6027,"Well Dawne got the results of the PET yesterday. It was not what we had wanted to hear. The cancer between her lungs has grown again. Her last scan had shown it getting a little smaller but, it had grown this time. The good new is that it has NOT spread anywhere else. That is good!! She does have gall stones, and the Dr can see something on her liver. She will be having the gall bladder removed probably at some point but I am not sure on when. This is what I know for now. Dawne is still ready to fight!! We all know how tired she has to be but she is ready for battle! Please keep her and her family in your prayers. I will post again when I have more to share. Dawne thinks of you all often and lifts you in prayer. God Bless"
6030,"Dawne had her first treatment of the gemzar yesterday. She was very sick last night and said she felt like she had the flu. That was pretty much what they told her to expect. She is not on steroids with this chemo and is very happy about that.Her lymphadema is giving her trouble, she is hoping not taking the steroids will help that. She is having some pain at the cancer site. She was not having any nausea today and was relieved! She will take treatment 2 Wednesdays in a row then off 1. Thank you all again for the prayers, love and support for Dawne. God Bless you all"
6036,"Well Dawne got the results of the PET yesterday. It was not what we had wanted to hear. The cancer between her lungs has grown again. Her last scan had shown it getting a little smaller but, it had grown this time. The good new is that it has NOT spread anywhere else. That is good!! She does have gall stones, and the Dr can see something on her liver. She will be having the gall bladder removed probably at some point but I am not sure on when. This is what I know for now. Dawne is still ready to fight!! We all know how tired she has to be but she is ready for battle! Please keep her and her family in your prayers. I will post again when I have more to share. Dawne thinks of you all often and lifts you in prayer. God Bless"
6127,Happy Birthday Dear Carol -- Hoping you have a wonderful Day celebrating your very special day
6136,"It has been a little over 2 months since all treatment was stopped. When the doctor was pushing hospice and said my mobility would be going fast, I was determined, no way. He told me to travel asap if there were any trips I wanted to take. Then I got vertigo, some meds and went to CA for 5 days, other than being dizzy it wasnt too bad. Figured I would go to Sacramento when the temp dropped some. Fast track 2 months this week from the trip to CA. I decided on a hospice. I am walking with a cane. Still going but any walking is quite painful. It is the right leg from the calf to the hip on to the spine, and the left ribs, mainly in the back. I saw endocrinologist last monday, even 50k iu of vit d, not absorbing. Vit B12 is non existant, and I am once again hypothyroid. I have been on meds for the thyroid for almost 6 yrs. It was removed in 2009 with tumors with abnormal cells. So now upping synthroid. I am taking the 50k iu of vit D 1x a week and 5k daily, magnesium, and I am back on weekly shots of vit b12. My body is not absorbing. I am now using a cane as my right leg goes out.n I have been spending time with my brother and his wife, my ex and my boys. We have been fishing. It takes a bit to get to my spot, but I get there. and my ex has been grocery shopping with me, running errands, etc, and my boys are doing almost too much for me, even putting the worm on my hook! lol I am still going strong, just at a slower pace, and less often. But still not willing to stop. I cant tell you all how much I hate cancer. I feel like it is taking more of me every day. Hugs, Carol"
6278,I have been praying for you every day and was wondering if you are checking the site.  I was never blessed with a daughter but if I had a daughter I would have wanted her to be just like you.  You are like no other.  Hugs sweetie.  Your pink moms will keep the prayers coming for our cyber daughter.
6293,my surgery is coming up in a week.  I don't know what to expect in terms of pain level post-op (having double mastectomy).  I know I'll get pain meds but hate taking pills.  Is the pain level significant and how long does it last?
